year,certificate,movielist
1998,Not Rated,Kirikou et la sorciÃ¨re
2012,Not Rated,Dupa dealuri
1942,Not Rated,The Palm Beach Story
1994,U,Hum Aapke Hain Koun..!
2002,R,Los lunes al sol
2022,UA 13+,Sharmaji Namkeen
1999,Not Rated,Bang Boom Bang - Ein todsicheres Ding
2009,PG-13,Le concert
2002,Not Rated,DÃ´ruzu
2014,Not Rated,Unutursam Fisilda
2011,Not Rated,Medianeras
1999,R,La fille sur le pont
2007,PG-13,Bikur Ha-Tizmoret
2013,Not Rated,Omar
2011,PG-13,Monsieur Lazhar
2009,UA,Rocket Singh: Salesman of the Year
2007,U,Sivaji
2003,R,Ruang rak noi nid mahasan
2013,UA,Jolly LLB
2017,UA,The Ghazi Attack
2016,Not Rated,Doua lozuri
2009,Not Rated,Vavien
2006,Not Rated,Hacivat KaragÃ¶z Neden ÃldÃ¼rÃ¼ldÃ¼?
2011,Not Rated,Behzat Ã.: Seni Kalbime GÃ¶mdÃ¼m
1994,Not Rated,La citÃ© de la peur
2018,UA,Bharat Ane Nenu
2004,Not Rated,Survive Style 5+
2013,Not Rated,Waar
2018,U,Hichki
2020,12+,Lootcase
2004,Not Rated,Zivot je cudo
2015,UA,Srimanthudu
2016,UA,Nannaku Prematho
2023,PG,A Million Miles Away
1996,A,Scream
2014,A,John Wick
2011,A,"Crazy, Stupid, Love."
1984,A,A Nightmare on Elm Street
1974,A,The Texas Chain Saw Massacre
1992,UA,Bram Stoker's Dracula
1975,UA,The Rocky Horror Picture Show
2023,R,BlackBerry
1999,UA 16+,The Talented Mr. Ripley
2002,U,Harry Potter and the Chamber of Secrets
1976,A,Carrie
I 2021,A,Nobody
I 2023,13,Air
2017,A,John Wick: Chapter 2
2019,A,John Wick: Chapter 3 - Parabellum
2002,U,Spider-Man
2000,A,MalÃ¨na
1981,A,The Evil Dead
2016,18,The Nice Guys
I 2014,18,Predestination
2005,UA,A History of Violence
2022,A,TÃ¡r
2023,PG-13,"Are You There God? It's Me, Margaret."
I 2013,U,Frozen
2018,UA,Ready Player One
2021,U,Sing 2
2016,UA,Me Before You
2023,A,Tetris
I 2019,18,The Lighthouse
2017,UA,Wonder Woman
2021,A,The Last Duel
2006,12+,Pirates of the Caribbean: Dead Man's Chest
2019,18,Uncut Gems
1978,U,Superman
2015,UA,Mission: Impossible - Rogue Nation
2017,U,Spider-Man: Homecoming
1992,A,Army of Darkness
2016,Not Rated,Gokseong
2017,A,Lady Bird
I 1990,A,Jacob's Ladder
2021,UA,Shang-Chi and the Legend of the Ten Rings
1978,A,National Lampoon's Animal House
2012,A,Looper
2012,A,Zero Dark Thirty
2011,UA,Mission: Impossible - Ghost Protocol
1973,U,American Graffiti
2009,A,Law Abiding Citizen
I 2011,A,Limitless
2000,A,Erin Brockovich
2017,UA,Phantom Thread
1996,A,The Rock
2007,A,[Rec]
2020,A,Palm Springs
2006,A,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
1931,Not Rated,Dracula
2014,UA,The Hobbit: The Battle of the Five Armies
I 2018,R,Beautiful Boy
I 2009,A,Up in the Air
I 2016,A,Moonlight
2021,PG,Luca
II 2013,A,Begin Again
2019,U,Spider-Man: Far from Home
1996,A,The English Patient
2012,A,Cloud Atlas
1990,PG,Back to the Future Part III
2003,U,Open Range
2000,U,The Emperor's New Groove
2017,R,Molly's Game
2004,U,The Terminal
1999,PG,Galaxy Quest
1977,A,The Goodbye Girl
2017,UA,Darkest Hour
2003,UA,X2
1975,U,Picnic at Hanging Rock
2019,UA,Downton Abbey
2016,A,Sully
2012,UA,Mud
2017,UA,War for the Planet of the Apes
1963,A,The Haunting
1972,GP,The Cowboys
1977,U,A Bridge Too Far
2007,R,El orfanato
1981,18,Body Heat
1985,U,Witness
2022,UA,Downton Abbey: A New Era
1981,A,Blow Out
2011,UA,Sherlock Holmes: A Game of Shadows
2005,A,Hooligans
2020,UA,Minari
1956,Not Rated,The Bad Seed
2000,R,High Fidelity
2019,U,How to Train Your Dragon: The Hidden World
1970,A,M*A*S*H
2018,18,Durante la tormenta
1979,Not Rated,Nosferatu - Phantom der Nacht
2021,A,The Mauritanian
1998,R,SLC Punk!
1998,R,Buffalo '66
I 2020,U,Onward
1994,R,La reine Margot
2007,U,August Rush
2017,16,Gi-eok-ui bam
2012,R,Frances Ha
1988,U,The Land Before Time
2014,A,The Judge
2022,UA 16+,The Swimmers
2013,R,Inside Llewyn Davis
2000,A,Frequency
2021,A,Judas and the Black Messiah
1982,U,Tootsie
1998,R,Elizabeth
1988,U,Dirty Rotten Scoundrels
1986,UA,The Mission
2004,R,Garden State
1968,A,Bullitt
2000,PG-13,Best in Show
1981,Not Rated,Thief
2001,UA,El espinazo del diablo
1975,Not Rated,Three Days of the Condor
2013,PG-13,The Way Way Back
1976,A,Marathon Man
1971,A,Straw Dogs
2007,U,The Bucket List
2006,R,Notes on a Scandal
2001,UA,In the Bedroom
1970,U,Five Easy Pieces
1983,A,Terms of Endearment
2019,PG-13,A Hidden Life
2015,PG,"McFarland, USA"
2018,R,Eighth Grade
1995,R,Welcome to the Dollhouse
1986,U,Hoosiers
1995,R,Dolores Claiborne
2021,R,C'mon C'mon
1955,A,To Catch a Thief
2004,U,Miracle
2012,R,De rouille et d'os
1999,U,The Cider House Rules
2016,UA,A Monster Calls
2005,U,The Constant Gardener
2017,R,Mudbound
1999,R,Man on the Moon
2001,U,K-PAX
2014,R,Calvary
1992,U,Howards End
1968,U,Oliver!
2004,R,2046
2009,R,Black Dynamite
1973,A,High Plains Drifter
1984,U,The Natural
1979,Not Rated,...And Justice for All
1971,U,Morte a Venezia
2021,R,L'Ã©vÃ©nement
1956,U,The King and I
1989,Not Rated,Lean on Me
1957,Not Rated,Night of the Demon
2007,R,Reign Over Me
1972,A,Frenzy
2021,PG,Petite maman
2001,U,Kabhi Khushi Kabhie Gham...
2000,R,Tillsammans
1956,U,The Man Who Knew Too Much
1968,Not Rated,The Party
1978,U,Jui kuen
2018,R,Blindspotting
2020,PG-13,Never Rarely Sometimes Always
1964,PG,A Shot in the Dark
2004,A,La mala educaciÃ³n
2010,R,Biutiful
2012,R,Dans la maison
1977,U,The Duellists
2005,PG,"Good Night, and Good Luck."
2022,UA 16+,Monica O My Darling
2011,PG,Kokuriko-zaka kara
2019,U,A Dog's Journey
2006,PG-13,The Painted Veil
1960,Not Rated,Pollyanna
1945,Not Rated,And Then There Were None
2006,PG,Akeelah and the Bee
2014,PG-13,Love & Mercy
1996,R,Waiting for Guffman
1996,R,Tesis
1977,A,Cross of Iron
1986,A,Ying hung boon sik
2008,R,Felon
1973,Not Rated,The Friends of Eddie Coyle
1932,Not Rated,Vampyr
1968,Not Rated,Yellow Submarine
2015,R,Trumbo
1956,U,The Wrong Man
1992,Not Rated,C'est arrivÃ© prÃ¨s de chez vous
2020,Not Rated,Persischstunden
2009,Not Rated,In the Loop
1994,R,Immortal Beloved
1981,Not Rated,Gallipoli
1957,Not Rated,An Affair to Remember
1993,13,Searching for Bobby Fischer
1932,Not Rated,Island of Lost Souls
1990,Not Rated,Ah fei jing juen
1994,R,Bullets Over Broadway
2020,18,Mortal Kombat Legends: Scorpion's Revenge
2012,Not Rated,RurÃ´ni Kenshin: Meiji kenkaku roman tan
2016,UA,Dear Zindagi
2005,U,The Greatest Game Ever Played
1970,Not Rated,Lo chiamavano TrinitÃ ...
1946,Not Rated,The Strange Love of Martha Ivers
1996,R,Lone Star
2013,PG-13,Ida
1965,Not Rated,Pierrot le fou
2013,U,Koto no ha no niwa
2018,Not Rated,Kona fer Ã­ strÃ­Ã°
1940,Not Rated,The Thief of Bagdad
2015,A,Badlapur
2004,A,Saving Face
2019,R,La Belle Ãpoque
1986,A,Salvador
1984,Not Rated,Places in the Heart
1979,Not Rated,The Black Stallion
1943,U,Heaven Can Wait
1955,Not Rated,The Dam Busters
1979,U,The China Syndrome
2018,Not Rated,Journal 64
1971,Not Rated,The Tragedy of Macbeth
1987,U,Cry Freedom
2015,R,Saul fia
2006,PG,Amazing Grace
2002,PG,Rabbit-Proof Fence
1988,Not Rated,Neco z Alenky
2015,Not Rated,Suburra
1959,A,Pillow Talk
1977,Not Rated,Der amerikanische Freund
1992,Not Rated,Noises Off...
1984,Not Rated,Stranger Than Paradise
2005,R,Transamerica
2004,Not Rated,Napola - Elite fÃ¼r den FÃ¼hrer
1946,Not Rated,The Postman Always Rings Twice
1956,Not Rated,Written on the Wind
2011,Not Rated,Tomboy
1968,Not Rated,If....
1970,U,Ryan's Daughter
2022,UA 16+,Freddy
2003,R,American Splendor
1987,U,Radio Days
I 2012,R,No
1940,Not Rated,Foreign Correspondent
I 2008,PG-13,Keith
1948,Not Rated,Fort Apache
1967,Not Rated,Hombre
2004,R,Maria Full of Grace
2017,R,The Rider
2005,U,Little Manhattan
2005,PG-13,Everything Is Illuminated
1987,Not Rated,Out of Rosenheim
1974,Not Rated,Bring Me the Head of Alfredo Garcia
2014,PG-13,The Good Lie
1981,Not Rated,Le professionnel
1966,Not Rated,Masculin fÃ©minin
2021,UA 16+,RurÃ´ni Kenshin: Sai shÃ»shÃ´ - The Beginning
1959,U,The Diary of Anne Frank
2009,PG-13,City Island
2015,Not Rated,Holding the Man
2014,R,Rudderless
1939,Not Rated,The Hound of the Baskervilles
1999,R,Topsy-Turvy
2010,PG-13,Another Year
1953,Not Rated,The Band Wagon
1995,R,Smoke
2016,PG,Queen of Katwe
2009,Not Rated,J'ai tuÃ© ma mÃ¨re
1990,R,Trust
1942,Not Rated,This Gun for Hire
1938,Not Rated,Jezebel
1962,Not Rated,Knife in the Water
I 2004,UA,Innocence
2003,U,Baghban
I 2013,UA,Lootera
1987,Not Rated,84 Charing Cross Road
1949,Not Rated,All the King's Men
I 2016,Not Rated,Aquarius
1957,Not Rated,The Enemy Below
2003,R,My Life Without Me
1999,Not Rated,Bad ma ra khahad bord
1962,Not Rated,Ride the High Country
2010,UA,Guzaarish
1955,Not Rated,We're No Angels
1999,R,Rosetta
I 1968,R,Faces
2010,Not Rated,TambiÃ©n la lluvia
2019,Not Rated,Hors normes
2009,U,SamÃ¢ uÃ´zu
2021,UA,Doctor
1967,A,Two for the Road
2018,UA,Raid
1959,Not Rated,Orfeu Negro
1991,R,Mediterraneo
1964,Not Rated,Matrimonio all'italiana
1984,Not Rated,Broadway Danny Rose
2008,R,L'ennemi public nÂ°1
I 2002,R,Sweet Sixteen
2008,U,Jaane Tu... Ya Jaane Na
1939,Not Rated,Dark Victory
2006,A,La sconosciuta
2008,Not Rated,Nordwand
1990,U,Life Is Sweet
1994,R,Il mostro
1930,Not Rated,Animal Crackers
1949,Not Rated,Adam's Rib
2019,UA,Kesari
2012,R,What Maisie Knew
1983,Not Rated,L'argent
2017,Not Rated,120 battements par minute
2009,A,Kaminey
2006,Not Rated,Snow Cake
2016,Not Rated,Umi yori mo mada fukaku
2011,PG-13,Le gamin au vÃ©lo
1970,Not Rated,Domicile conjugal
1995,U,Rangeela
2010,Not Rated,Av Mevsimi
1987,Not Rated,Sien lui yau wan
2005,Not Rated,The Secret Life of Words
2011,PG-13,Et maintenant on va oÃ¹?
2015,Not Rated,An
2006,Not Rated,Hokkabaz
1931,Not Rated,Monkey Business
2009,Not Rated,Yahsi Bati
2007,UA,Bhool Bhulaiyaa
2007,Not Rated,Du levande
1973,Not Rated,Les aventures de Rabbi Jacob
2017,Not Rated,Au revoir lÃ -haut
2022,UA,Jhund
2006,UA,Golmaal: Fun Unlimited
2005,PG-13,Paradise Now
1960,Not Rated,Tirez sur le pianiste
2005,R,L'enfant
2004,UA,Khakee
1967,Not Rated,"HorÃ­, mÃ¡ panenko"
2015,UA,I
2003,R,Io non ho paura
2000,R,Der Krieger und die Kaiserin
2016,Not Rated,Divines
2005,Not Rated,Organize Isler
2004,R,Die fetten Jahre sind vorbei
2010,UA,Once Upon a Time in Mumbaai
1993,Not Rated,Dragon Ball Z: Moetsukiro!! Nessen Ressen ChÃ´-Gekisen
2007,U,Dhamaal
1970,PG-13,Tristana
1999,UA,Hum Dil De Chuke Sanam
2016,Not Rated,Iftarlik Gazoz
2007,A,Life in a Metro
2006,Not Rated,Takva
2022,A,Khuda Haafiz Chapter II: Agni Pariksha
2004,Not Rated,Neredesin Firuze
1997,U,Chachi 420
2006,R,The Road to Guantanamo
2010,Not Rated,Brestskaya krepost
2015,Not Rated,Limonata
2015,Not Rated,Bana Masal Anlatma
2002,U,Aankhen
1988,U,Qayamat Se Qayamat Tak
2011,UA,Dookudu
2010,A,Peepli [Live]
2023,PG,Teenage Mutant Ninja Turtles: Mutant Mayhem
2023,UA,Dungeons & Dragons: Honor Among Thieves
I 2017,A,It
2018,A,Hereditary
1999,UA,Sleepy Hollow
I 2022,A,Bullet Train
2021,Not Rated,Cruella
2019,A,Doctor Sleep
1982,A,Poltergeist
2020,UA,Tenet
2022,A,Triangle of Sadness
1981,Not Rated,Possession
2005,U,Corpse Bride
2004,UA,Troy
2016,UA,The Conjuring 2
IX 2016,UA,Split
2022,UA,Elvis
2021,UA,No Time to Die
1999,U,10 Things I Hate About You
1994,A,True Lies
2002,A,IrrÃ©versible
1997,A,Starship Troopers
2018,18,The Ballad of Buster Scruggs
2016,18,The Accountant
2012,A,The Place Beyond the Pines
2019,UA,Alita: Battle Angel
1992,U,A League of Their Own
1997,UA,Men in Black
1999,UA,"Girl, Interrupted"
1984,U,The NeverEnding Story
1986,Not Rated,Labyrinth
1985,A,The Return of the Living Dead
2018,UA,Black Panther
2007,A,Sweeney Todd: The Demon Barber of Fleet Street
1977,A,Suspiria
2014,A,American Sniper
2000,UA,X-Men
I 2019,18,The King
1984,UA,Gremlins
2010,18,Blue Valentine
1997,U,Hercules
1984,U,The Karate Kid
2011,A,The Lincoln Lawyer
2017,A,The Shape of Water
1994,A,Speed
2003,A,Identity
1981,A,Excalibur
2015,UA,Avengers: Age of Ultron
2017,A,Good Time
1984,A,Beverly Hills Cop
2019,16,El Camino: A Breaking Bad Movie
1994,UA,Dumb and Dumber
1989,U,Steel Magnolias
2016,A,13 Hours
2013,UA,The Secret Life of Walter Mitty
2019,A,Official Secrets
1997,UA,Face/Off
2003,A,Monster
2010,U,Megamind
2022,A,She Said
2004,UA,Layer Cake
2008,16,Revolutionary Road
2022,18,Heojil kyolshim
I 2012,UA,Flight
I 2019,A,Rocketman
1983,Not Rated,Local Hero
2011,UA,Fast Five
1999,U,Tarzan
2000,U,Chocolat
2000,UA,Unbreakable
1983,U,National Lampoon's Vacation
2015,UA,Ant-Man
1995,U,Crimson Tide
1977,Not Rated,Hausu
1988,U,Big
2004,U,Shrek 2
2021,PG-13,Belfast
1996,U,Jerry Maguire
2020,UA,Nomadland
2002,U,Lilo & Stitch
1996,A,Bound
2002,UA,Equilibrium
1977,Not Rated,Eraserhead
1999,R,Dogma
2015,16,Southpaw
2021,U,Raya and the Last Dragon
2017,U,The Lego Batman Movie
1987,A,Wall Street
2012,U,Lincoln
1985,Not Rated,To Live and Die in L.A.
1987,U,Raising Arizona
2018,UA,First Man
2011,U,The Adventures of Tintin
2002,U,A Walk to Remember
2022,UA 16+,Hustle
1953,U,Peter Pan
2014,A,Chef
2006,R,Running Scared
1969,A,Easy Rider
2016,18,The Edge of Seventeen
2010,13,The Next Three Days
1992,Not Rated,Twin Peaks: Fire Walk with Me
1998,A,Enemy of the State
2021,Not Rated,Old Henry
1994,UA,Heavenly Creatures
2017,R,Shot Caller
2018,13,Instant Family
1981,Not Rated,La guerre du feu
2007,PG-13,Lars and the Real Girl
1995,UA,The Basketball Diaries
1963,A,From Russia with Love
1974,Not Rated,Phantom of the Paradise
1993,Not Rated,The Secret Garden
1989,U,Say Anything...
1976,U,The Bad News Bears
2018,R,Mid90s
1974,A,Alice Doesn't Live Here Anymore
1988,A,The Unbearable Lightness of Being
1948,Not Rated,Bud Abbott and Lou Costello Meet Frankenstein
2014,U,Paddington
I 2018,R,The Nightingale
1998,U,Rounders
2022,Not Rated,Holy Spider
2017,UA,The Disaster Artist
2013,U,Despicable Me 2
2021,UA 16+,In the Heights
1993,U,Much Ado About Nothing
II 2009,R,Precious
2005,UA,Memoirs of a Geisha
2002,R,Punch-Drunk Love
2000,U,Finding Forrester
2007,R,Before the Devil Knows You're Dead
2018,Not Rated,The Guernsey Literary and Potato Peel Pie Society
2014,R,I Origins
2002,UA,Frida
2017,UA,Okja
1988,Not Rated,Stand and Deliver
2022,A,Cha Cha Real Smooth
2010,R,Submarine
2011,UA,Jane Eyre
2005,R,The Squid and the Whale
2000,R,Sexy Beast
2010,R,Four Lions
2019,A,Our Friend
2006,PG,The Ultimate Gift
2005,PG-13,Coach Carter
1996,R,Big Night
1999,UA,Election
1951,Not Rated,Alice in Wonderland
2007,R,Mr. Brooks
1961,U,One Hundred and One Dalmatians
1977,UA,Slap Shot
2011,A,The Descendants
2013,PG-13,Blue Jasmine
1989,U,Driving Miss Daisy
2016,18,Snowden
1998,R,The Negotiator
2011,R,Take Shelter
2001,R,Ghost World
1993,U,This Boy's Life
2007,R,Death at a Funeral
1987,U,"Good Morning, Vietnam"
2020,A,The Banker
2009,PG-13,An Education
I 2015,R,Youth
2022,A,Entergalactic
I 2010,Not Rated,The Way
1950,G,Cinderella
1998,R,Pi
2009,R,The Boat That Rocked
I 2010,A,The Way Back
2016,R,20th Century Women
1972,A,The Getaway
2007,R,Ten Inch Hero
1980,18,The Gods Must Be Crazy
2007,PG-13,Across the Universe
2009,UA,Invictus
2011,R,The Guard
2016,A,Patriots Day
1997,A,Amistad
2007,U,The Simpsons Movie
2006,U,The Queen
2005,UA,Capote
1996,Not Rated,Pusher
2015,UA,Eye in the Sky
2016,R,Paterson
1997,A,The Ice Storm
1955,G,Lady and the Tramp
1997,U,Grosse Pointe Blank
2013,PG,Belle
1990,Not Rated,Nikita
1976,Not Rated,Murder by Death
2001,U,Siu Lam juk kau
1942,U,Bambi
1991,U,The Man in the Moon
1985,UA,Pale Rider
1989,A,Lethal Weapon 2
1986,U,Star Trek IV: The Voyage Home
1976,A,Assault on Precinct 13
1993,R,What's Love Got to Do with It
2015,Not Rated,Woman in Gold
2021,18,Ã stata la mano di Dio
2009,PG-13,My Sister's Keeper
2011,R,La cara oculta
1973,Not Rated,Jesus Christ Superstar
2005,7,North Country
1954,Not Rated,Seven Brides for Seven Brothers
2006,R,Clerks II
1979,U,Rocky II
2003,A,Matchstick Men
2002,PG-13,Antwone Fisher
2000,PG-13,Thirteen Days
II 2015,UA,The Walk
2014,PG,The Hundred-Foot Journey
2006,PG-13,Rescue Dawn
1986,A,37Â°2 le matin
2015,PG-13,Little Boy
2016,16,The Fundamentals of Caring
2017,Not Rated,Der Hauptmann
2015,UA,Eddie the Eagle
1971,UA,Get Carter
1966,A,The Professionals
1963,U,Jason and the Argonauts
2005,R,Hustle & Flow
1989,15+,Drugstore Cowboy
2002,PG-13,Far from Heaven
1998,Not Rated,Seul contre tous
2005,R,CachÃ©
1982,U,The Last Unicorn
1979,Not Rated,The Wanderers
2008,R,Chi bi
1973,Not Rated,Il mio nome Ã¨ Nessuno
1968,U,Funny Girl
2017,R,Detroit
1996,A,The People vs. Larry Flynt
1941,Not Rated,Suspicion
1994,R,Shallow Grave
1996,Not Rated,L'appartement
2016,A,Toni Erdmann
2018,PG,I Can Only Imagine
2002,R,24 Hour Party People
1960,A,Village of the Damned
1981,UA,Reds
1995,PG,Mr. Holland's Opus
1967,A,Point Blank
1997,R,Carne trÃ©mula
1994,R,Nobody's Fool
1956,Not Rated,Moby Dick
1980,Not Rated,Atlantic City
2017,Not Rated,Den 12. mann
2015,R,Anomalisa
2020,Not Rated,Uncle Frank
2003,U,Seabiscuit
2021,16,Skyggen i mit Ã¸je
2009,Not Rated,Fish Tank
1978,Not Rated,Coming Home
1998,R,Gods and Monsters
1979,U,Tess
2019,PG-13,The Best of Enemies
1999,R,The War Zone
1984,U,A Passage to India
2013,Not Rated,Starred Up
2008,R,Der Baader Meinhof Komplex
I 2008,Not Rated,Loft
2009,R,Luftslottet som sprÃ¤ngdes
1966,Not Rated,SedmikrÃ¡sky
1983,U,Tender Mercies
2005,A,The Proposition
I 2017,Not Rated,Lucky
1997,UA,Deconstructing Harry
1998,PG,Waking Ned
2010,Not Rated,Kim Bok-nam salinsageonui jeonmal
2019,Not Rated,Bacurau
1992,U,Lorenzo's Oil
1999,Not Rated,Beau Travail
1994,U,Heisei tanuki gassen ponpoko
2004,Not Rated,Pusher II
2006,U,Eight Below
2011,PG,Red Dog
1993,Not Rated,Bad Boy Bubby
2001,UA,Gadar: Ek Prem Katha
1986,A,Mona Lisa
1958,Not Rated,"Run Silent, Run Deep"
1985,Not Rated,Kiss of the Spider Woman
2017,16,Marshall
1999,U,Angela's Ashes
1981,Not Rated,Ragtime
I 2007,R,Trade
2001,A,Monsoon Wedding
1949,Not Rated,On the Town
2019,16,The Last Black Man in San Francisco
I 2021,UA,Master
I 2016,Not Rated,Blue Jay
1976,Not Rated,The Killing of a Chinese Bookie
1968,R,Targets
1958,Not Rated,"The Long, Hot Summer"
1995,R,El dÃ­a de la bestia
1964,Not Rated,Father Goose
2014,R,You're Not You
2015,U,Shaun the Sheep Movie
1993,PG,Shadowlands
1995,R,Richard III
1979,A,Norma Rae
2002,UA,Dirty Pretty Things
1999,Not Rated,Jin-RÃ´
1963,Not Rated,Irma la Douce
I 2011,PG-13,United
1987,U,Hope and Glory
1984,Not Rated,Ronja RÃ¶vardotter
2014,PG-13,"Deux jours, une nuit"
1990,Not Rated,Rosencrantz & Guildenstern Are Dead
1995,R,Murder in the First
2006,R,Reprise
1988,Not Rated,The Beast
2002,R,L'auberge espagnole
1983,Not Rated,Pauline Ã  la plage
2016,Not Rated,A Street Cat Named Bob
2009,R,Desert Flower
1946,Not Rated,The Stranger
II 2014,PG-13,Phoenix
1972,Not Rated,Fat City
2008,Not Rated,ÃÃ§ Maymun
1993,PG,Manhattan Murder Mystery
2005,R,The Three Burials of Melquiades Estrada
1955,Not Rated,The Man with the Golden Arm
2010,R,Barney's Version
2015,UA,Tamasha
1974,U,The Front Page
2010,R,Hwanghae
1982,Not Rated,My Favorite Year
2012,R,Venuto al mondo
2019,Not Rated,Der Fall Collini
2011,R,Rundskop
2008,Not Rated,Max Manus
1942,Not Rated,Holiday Inn
1956,Not Rated,Lust for Life
1945,Not Rated,Detour
2019,UA,Bala
2012,Not Rated,Le prÃ©nom
1946,Not Rated,The Spiral Staircase
1978,Not Rated,Interiors
2005,Not Rated,Pusher III
1948,Not Rated,"Sorry, Wrong Number"
1990,Not Rated,Metropolitan
2016,Not Rated,Demain tout commence
2014,Not Rated,La famille BÃ©lier
1980,Not Rated,Shogun Assassin
1983,UA,'A' gai wak
2020,UA,Ala Vaikunthapurramuloo
2016,A,Raman Raghav 2.0
2004,R,Sommersturm
2016,R,Bacalaureat
1974,Not Rated,...altrimenti ci arrabbiamo!
2017,PG-13,Brigsby Bear
I 1932,Not Rated,Grand Hotel
1927,Not Rated,The Lodger: A Story of the London Fog
2016,PG-13,Les innocentes
2023,U,Ponniyin Selvan: Part Two
2003,PG,The Snow Walker
2011,Not Rated,Polisse
1978,U,Se ying diu sau
1961,Not Rated,Une femme est une femme
1952,Not Rated,Viva Zapata!
2018,UA,Boku no hÃ®rÃ´ akademia THE MOVIE: 2-ri no eiyÃ»
2010,Not Rated,Rang zi dan fei
2011,Not Rated,CafÃ© de Flore
2008,Not Rated,A.R.O.G
1948,Not Rated,Easter Parade
2013,PG-13,Nosotros los Nobles
2016,U,Theri
1933,Not Rated,42nd Street
1963,Not Rated,Shock Corridor
1951,Not Rated,The Man in the White Suit
1954,Not Rated,Viaggio in Italia
2012,Not Rated,Oh Boy
1999,Not Rated,I Kina spiser de hunde
1953,Not Rated,Les vacances de Monsieur Hulot
2019,A,72 Hoorain
2003,Not Rated,Mou gaan dou II
1945,Not Rated,Christmas in Connecticut
1940,Not Rated,My Favorite Wife
2001,R,La stanza del figlio
2007,R,Talk to Me
2015,Not Rated,Mohammad Rasoolollah
1980,U,Le dernier mÃ©tro
1955,Not Rated,The Man from Laramie
1998,R,Hilary and Jackie
1953,Not Rated,The Naked Spur
2015,Not Rated,Palmeras en la nieve
2011,R,W ciemnosci
2005,Not Rated,13 Tzameti
2015,UA,Yennai Arindhaal
2013,Not Rated,The Selfish Giant
2001,R,Sur mes lÃ¨vres
2014,R,Im Labyrinth des Schweigens
2014,Not Rated,Pek Yakinda
2018,Not Rated,Kelebekler
2009,Not Rated,De helaasheid der dingen
III 2015,Not Rated,Taxi
2011,Not Rated,Un cuento chino
2011,Not Rated,Elena
2015,Not Rated,Truman
2005,PG-13,GekijÃ´-ban hagane no renkinjutsushi: Shanbara wo yuku mono
1981,Not Rated,La chÃ¨vre
2007,Not Rated,Ben X
2015,A,Pyaar Ka Punchnama 2
2019,UA,Mardaani 2
2012,UA,Shanghai
I 2018,UA,Mulk
1998,A,Gunda
1992,UA,Wong Fei Hung II: Nam yee tung chi keung
2003,R,Monsieur Ibrahim et les fleurs du Coran
2006,Not Rated,"Je vais bien, ne t'en fais pas"
1989,U,Maine Pyar Kiya
2014,A,Mardaani
2001,Not Rated,Lammbock
2006,UA,Taxi No. 9 2 11: Nau Do Gyarah
2008,R,Jerusalema
2014,UA,Race Gurram
2011,Not Rated,Parada
2010,A,Ishqiya
I 2018,UA,Gold
2021,UA 13+,Rashmi Rocket
2023,PG-13,The Creator
2023,PG-13,Gran Turismo
2014,A,The Equalizer
1987,UA,The Lost Boys
2022,A,The Menu
2012,UA,The Hunger Games
2005,A,Kingdom of Heaven
2006,U,Cars
2021,A,The Suicide Squad
2005,A,The Descent
1985,Not Rated,Clue
1996,A,From Dusk Till Dawn
2022,UA,Where the Crawdads Sing
1978,A,Grease
2021,18,Don't Look Up
1996,U,Mission: Impossible
2021,U,Encanto
1988,A,They Live
2013,A,The Great Gatsby
2004,A,The Passion of the Christ
I 2013,UA,Now You See Me
2003,Not Rated,School of Rock
2015,13,The Age of Adaline
I 2004,A,Closer
1999,R,The Virgin Suicides
2022,PG-13,Living
2009,Not Rated,Kynodontas
2015,UA,The Man from U.N.C.L.E.
2002,UA,8 Mile
2001,U,A.I. Artificial Intelligence
1991,A,Point Break
I 2016,18,Silence
1999,U,Notting Hill
2019,UA,Five Feet Apart
2013,A,American Hustle
2013,Not Rated,Coherence
1995,R,Friday
1993,U,The Age of Innocence
1974,U,Murder on the Orient Express
2020,A,A Quiet Place Part II
2002,A,Chicago
1998,A,Meet Joe Black
1994,A,Natural Born Killers
1988,UA,Heathers
1980,UA,The Changeling
2016,A,10 Cloverfield Lane
1995,UA,GoldenEye
2007,U,Bridge to Terabithia
1996,A,The Birdcage
2012,UA,21 Jump Street
2011,(Banned),Shame
2002,UA,Insomnia
I 2018,R,Vice
1986,UA,Big Trouble in Little China
2016,UA,Fantastic Beasts and Where to Find Them
1980,U,Caddyshack
2007,A,I Am Legend
2000,A,The Patriot
I 2009,R,The Road
1983,Not Rated,Videodrome
2001,U,Gosford Park
2016,Not Rated,The Founder
2022,18,The Outfit
2002,A,Red Dragon
1998,U,A Bug's Life
2017,A,Hostiles
2013,R,Only Lovers Left Alive
1973,A,Mean Streets
1962,A,Dr. No
2021,A,Palmer
2009,A,Enter the Void
1980,Not Rated,Somewhere in Time
I 2014,18,Unbroken
1954,U,Them!
1985,UA,Mask
1986,A,Manhunter
2012,R,Lawless
1998,UA,The Prince of Egypt
2022,12+,"Good Luck to You, Leo Grande"
2003,UA,The Matrix Reloaded
1978,U,Death on the Nile
2017,UA,The Post
2013,U,Monsters University
1987,A,Angel Heart
2004,R,The Life Aquatic with Steve Zissou
2016,UA,Fences
2007,R,The Darjeeling Limited
1990,A,Wild at Heart
2002,PG,Treasure Planet
